Prefix Length,Feature Vector Length,Explainer,Running Time
1,147,SHAP,0.00876617431640625
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.00976252555847168
1,147,SHAP,0.009763002395629883
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.0078105926513671875
1,147,SHAP,0.008787393569946289
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.009763717651367188
1,147,SHAP,0.009763002395629883
1,147,SHAP,0.010740280151367188
1,147,SHAP,0.008787393569946289
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786439895629883
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.007810115814208984
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.011716365814208984
1,147,SHAP,0.009763479232788086
1,147,SHAP,0.00878763198852539
1,147,SHAP,0.009763479232788086
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786439895629883
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.00878763198852539
1,147,SHAP,0.008788347244262695
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.007810354232788086
1,147,LIME,1.4391214847564697
1,147,LIME,1.457672357559204
1,147,LIME,1.4615776538848877
1,147,LIME,1.4625542163848877
1,147,LIME,1.4361920356750488
1,147,LIME,1.4381449222564697
1,147,LIME,1.4742696285247803
1,147,LIME,1.5318729877471924
1,147,LIME,1.589477300643921
1,147,LIME,1.49770188331604
1,147,LIME,1.5025830268859863
1,147,LIME,1.4693872928619385
1,147,LIME,1.4762217998504639
1,147,LIME,1.4352164268493652
1,147,LIME,1.5074653625488281
1,147,LIME,1.5514004230499268
1,147,LIME,1.5133230686187744
1,147,LIME,1.5025832653045654
1,147,LIME,1.4732928276062012
1,147,LIME,1.6158382892608643
1,147,LIME,1.4791507720947266
1,147,LIME,1.5455420017242432
1,147,LIME,1.4771978855133057
1,147,LIME,1.464505910873413
1,147,LIME,1.5016074180603027
1,147,LIME,1.447908878326416
1,147,LIME,1.4488849639892578
1,147,LIME,1.4586479663848877
1,147,LIME,1.4742696285247803
1,147,LIME,1.5035591125488281
1,147,LIME,1.4459543228149414
1,147,LIME,1.4205710887908936
1,147,LIME,1.4000680446624756
1,147,LIME,1.4215476512908936
1,147,LIME,1.4010438919067383
1,147,LIME,1.4205708503723145
1,147,LIME,1.396162986755371
1,147,LIME,1.4332633018493652
1,147,LIME,1.40787935256958
1,147,SHAP,0.00876617431640625
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.00976252555847168
1,147,SHAP,0.009763002395629883
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.0078105926513671875
1,147,SHAP,0.008787393569946289
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.009763717651367188
1,147,SHAP,0.009763002395629883
1,147,SHAP,0.010740280151367188
1,147,SHAP,0.008787393569946289
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786439895629883
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.007810115814208984
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.011716365814208984
1,147,SHAP,0.009763479232788086
1,147,SHAP,0.00878763198852539
1,147,SHAP,0.009763479232788086
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786439895629883
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.00878763198852539
1,147,SHAP,0.008788347244262695
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.008786916732788086
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008787155151367188
1,147,SHAP,0.008786678314208984
1,147,SHAP,0.007810354232788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787870407104492
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.007810354232788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.0078105926513671875
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.007810354232788086
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.007810354232788086
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787870407104492
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008787393569946289
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008787155151367188
2,158,SHAP,0.008786678314208984
2,158,SHAP,0.008786916732788086
2,158,SHAP,0.008787155151367188
1,147,LIME,1.4391214847564697
1,147,LIME,1.457672357559204
1,147,LIME,1.4615776538848877
1,147,LIME,1.4625542163848877
1,147,LIME,1.4361920356750488
1,147,LIME,1.4381449222564697
1,147,LIME,1.4742696285247803
1,147,LIME,1.5318729877471924
1,147,LIME,1.589477300643921
1,147,LIME,1.49770188331604
1,147,LIME,1.5025830268859863
1,147,LIME,1.4693872928619385
1,147,LIME,1.4762217998504639
1,147,LIME,1.4352164268493652
