iter;dataset;cls;method;param;value;score
2;production;xgboost;single_agg;colsample_bytree;0.43779748220333126;0.5
2;production;xgboost;single_agg;learning_rate;3.2418436548496823;0.5
2;production;xgboost;single_agg;max_depth;29;0.5
2;production;xgboost;single_agg;min_child_weight;5;0.5
2;production;xgboost;single_agg;subsample;0.7116591534338809;0.5
2;production;xgboost;single_agg;processing_time;1.8379347324371338;0
3;production;xgboost;single_agg;colsample_bytree;0.11104890203918272;0.5026108790201075
3;production;xgboost;single_agg;learning_rate;4.939606884247797;0.5026108790201075
3;production;xgboost;single_agg;max_depth;19;0.5026108790201075
3;production;xgboost;single_agg;min_child_weight;1;0.5026108790201075
3;production;xgboost;single_agg;subsample;0.900156781126559;0.5026108790201075
3;production;xgboost;single_agg;processing_time;1.6056478023529053;0
4;production;xgboost;single_agg;colsample_bytree;0.6295214399492504;0.6636606823297853
4;production;xgboost;single_agg;learning_rate;0.8386828987068323;0.6636606823297853
4;production;xgboost;single_agg;max_depth;15;0.6636606823297853
4;production;xgboost;single_agg;min_child_weight;2;0.6636606823297853
4;production;xgboost;single_agg;subsample;0.7140914392810376;0.6636606823297853
4;production;xgboost;single_agg;processing_time;2.1925649642944336;0
